onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset	CURRENT_FIX_ADJUSTED
#VALUE!	84	S3017_2	.	7	.	.	.	.	FALSE
19608	127	S3017_2	1	0	t.04.01	6435	26043	19608	TRUE
19754	203	S3017_2	2	146	t.04.01	6435	26043	19608	TRUE
19973	357	S3017_2	2	365	t.04.01	6435	26043	19608	TRUE
20349	219	S3017_2	2	741	t.04.01	6435	26043	19608	TRUE
20588	421	S3017_2	2	980	t.04.01	6435	26043	19608	TRUE
21033	257	S3017_2	4	1425	t.04.01	6435	26043	19608	TRUE
21296	442	S3017_2	.	1688	t.04.01	6435	26043	19608	TRUE
21753	927	S3017_2	4	2145	t.04.01	6435	26043	19608	TRUE
22714	275	S3017_2	2	3106	t.04.01	6435	26043	19608	TRUE
23007	355	S3017_2	3	3399	t.04.01	6435	26043	19608	TRUE
23388	314	S3017_2	4	3780	t.04.01	6435	26043	19608	TRUE
23725	273	S3017_2	6	4117	t.04.01	6435	26043	19608	TRUE
24022	331	S3017_2	8	4414	t.04.01	6435	26043	19608	TRUE
24375	336	S3017_2	9	4767	t.04.01	6435	26043	19608	TRUE
24731	262	S3017_2	10	5123	t.04.01	6435	26043	19608	TRUE
25011	748	S3017_2	11	5403	t.04.01	6435	26043	19608	TRUE
25774	197	S3017_2	11	6166	t.04.01	6435	26043	19608	TRUE
26021	135	S3017_2	3	6413	t.04.01	6435	26043	19608	TRUE
#VALUE!	44	S3017_2	.	47	.	.	.	.	FALSE
27574	626	S3017_2	6	0	t.04.02	5334	32908	27574	TRUE
28519	160	S3017_2	4	945	t.04.02	5334	32908	27574	TRUE
28702	216	S3017_2	4	1128	t.04.02	5334	32908	27574	TRUE
28938	300	S3017_2	3	1364	t.04.02	5334	32908	27574	TRUE
29314	32	S3017_2	4	1740	t.04.02	5334	32908	27574	TRUE
29409	37	S3017_2	4	1835	t.04.02	5334	32908	27574	TRUE
29478	345	S3017_2	6	1904	t.04.02	5334	32908	27574	TRUE
29843	288	S3017_2	8	2269	t.04.02	5334	32908	27574	TRUE
30143	293	S3017_2	8	2569	t.04.02	5334	32908	27574	TRUE
30452	247	S3017_2	8	2878	t.04.02	5334	32908	27574	TRUE
30712	247	S3017_2	7	3138	t.04.02	5334	32908	27574	TRUE
30975	253	S3017_2	8	3401	t.04.02	5334	32908	27574	TRUE
31248	454	S3017_2	9	3674	t.04.02	5334	32908	27574	TRUE
31724	300	S3017_2	9	4150	t.04.02	5334	32908	27574	TRUE
32034	236	S3017_2	9	4460	t.04.02	5334	32908	27574	TRUE
32300	127	S3017_2	.	4726	t.04.02	5334	32908	27574	TRUE
